2026-05-30 14:05:08 | INFO     | codecompanion.http | ← PUT /api/questions 405 1.7ms [f50fe55c]
2026-05-30 14:06:09 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:06:09 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/me [7f7f00fd]
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/grades [635ab2c7]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/me 200 79.8ms [7f7f00fd]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/grades 200 66.4ms [635ab2c7]
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/classes [6f1b3d08]
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/users [8002cea0]
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/questions [5fb84480]
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/grades [ff679464]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/classes 200 12.5ms [6f1b3d08]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/users 200 10.9ms [8002cea0]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/questions 200 31.1ms [5fb84480]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/grades 200 28.5ms [ff679464]
2026-05-30 14:06:09 | INFO     | codecompanion.http | → GET /api/questions [387c0316]
2026-05-30 14:06:09 | INFO     | codecompanion.http | ← GET /api/questions 200 2.9ms [387c0316]
2026-05-30 14:06:51 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:06:51 | INFO     | codecompanion.http | → GET /api/ollama/status [0d541719]
2026-05-30 14:06:51 | INFO     | codecompanion.http | → GET /api/me [f314f112]
2026-05-30 14:06:51 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:06:51 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:06:51 | INFO     | codecompanion.http | ← GET /api/me 200 8.5ms [f314f112]
2026-05-30 14:06:52 | INFO     | codecompanion.http | → GET /api/me [c40442e6]
2026-05-30 14:06:52 | INFO     | codecompanion.http | ← GET /api/me 200 2.4ms [c40442e6]
2026-05-30 14:06:52 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:06:52 | INFO     | codecompanion.http | → GET /api/classes [1ea5c77b]
2026-05-30 14:06:52 | INFO     | codecompanion.http | → GET /api/users [f939179f]
2026-05-30 14:06:52 | INFO     | codecompanion.http | → GET /api/questions [54f56221]
2026-05-30 14:06:52 | INFO     | codecompanion.http | ← GET /api/classes 200 5.3ms [1ea5c77b]
2026-05-30 14:06:52 | INFO     | codecompanion.http | → GET /api/grades [44ede52e]
2026-05-30 14:06:52 | INFO     | codecompanion.http | ← GET /api/users 200 9.1ms [f939179f]
2026-05-30 14:06:52 | INFO     | codecompanion.http | ← GET /api/questions 200 43.0ms [54f56221]
2026-05-30 14:06:52 | INFO     | codecompanion.http | ← GET /api/grades 200 42.7ms [44ede52e]
2026-05-30 14:06:53 | INFO     | codecompanion.http | → GET /api/questions [f5edc6f7]
2026-05-30 14:06:53 | INFO     | codecompanion.http | ← GET /api/questions 200 2.6ms [f5edc6f7]
2026-05-30 14:06:53 | INFO     | codecompanion.http | → GET /api/questions [9131b188]
2026-05-30 14:06:53 | INFO     | codecompanion.http | ← GET /api/questions 200 2.9ms [9131b188]
2026-05-30 14:06:53 | INFO     | codecompanion.http | → GET /api/drafts/q1 [008c243f]
2026-05-30 14:06:53 | INFO     | codecompanion.http | ← GET /api/drafts/q1 200 8.6ms [008c243f]
2026-05-30 14:06:54 | INFO     | codecompanion.http | ← GET /api/ollama/status 200 2639.3ms [0d541719]
